system,history_id,history_step,b_star_cont,A_star_on_b_star_cont,J_bus_star_cont,second_bus_cont,gap_best_second_bus_cont,b_star_snap,A_star_on_b_star_snap,J_bus_star_snap,second_bus_snap,gap_best_second_bus_snap,joint_bus_cont,joint_amp_cont,bus_ranking_cont
ieee5,-1,0,1,0.05,0.8960937500000001,3,0.07109374999999984,1,0.05,0.9140625,3,0.04062500000000002,1,0.05,1 3 2 4 0
ieee5,0,1,4,0.3,0.7015625000000001,2,0.006249999999999867,4,0.3,0.7703125,2,0.0015625000000001332,4,0.3,4 2 3 1 0
ieee5,1,1,1,0.05,0.8367187500000001,4,0.03593750000000007,1,0.05,0.878125,4,0.004687499999999956,1,0.05,1 4 3 2 0
ieee5,2,1,1,0.05,0.9085937500000001,3,0.04531249999999998,1,0.05,0.9046875000000001,2,0.03749999999999998,1,0.05,1 3 2 4 0
ieee5,3,1,1,0.15,0.8867187500000001,3,0.03828124999999993,1,0.075,0.89375,3,0.035937499999999956,1,0.15,1 3 2 4 0
ieee5,4,1,1,0.05,0.89765625,3,0.03359374999999998,1,0.05,0.8984375,3,0.025000000000000022,1,0.05,1 3 4 2 0
ieee5,5,1,1,0.05,0.92109375,3,0.021874999999999978,1,0.05,0.9046875,3,0.02343750000000011,1,0.05,1 3 4 2 0
ieee5,6,1,1,0.05,0.8453125000000001,2,0.04062499999999991,1,0.05,0.8843750000000001,2,0.015624999999999889,1,0.05,1 2 3 4 0
ieee5,7,1,1,0.075,0.8617187500000001,3,0.01953125,1,0.05,0.8968750000000001,4,0.01718749999999991,1,0.075,1 3 4 2 0
ieee5,8,1,2,0.3,0.746875,4,0.0007812500000000666,4,0.05,0.7890625,2,0.0015625000000000222,2,0.3,2 4 3 1 0
ieee5,9,1,1,0.05,0.8398437500000001,3,0.04453125000000002,1,0.05,0.8734375000000001,2,0.0234375,1,0.05,1 3 2 0 4
ieee5,10,1,1,0.05,0.6140625000000001,3,0.0015625000000000222,1,0.05,0.7093750000000001,3,0.0015624999999999112,1,0.05,1 3 4 2 0
ieee5,11,1,4,0.05,0.7671874999999999,2,0.004687499999999956,4,0.05,0.8046875,2,0.0031250000000000444,4,0.05,4 2 3 1 0
ieee5,12,1,1,0.05,0.61875,2,0.0,1,0.05,0.7125,2,0.0,1,0.05,1 2 3 4 0
ieee5,13,1,1,0.05,0.84296875,4,0.034375000000000044,1,0.05,0.8765625000000001,4,0.010937500000000044,1,0.05,1 4 3 2 0
ieee5,14,1,1,0.05,0.9390625000000001,3,0.024218749999999956,1,0.05,0.9281250000000001,3,0.028124999999999956,1,0.05,1 3 2 4 0
ieee5,15,1,1,0.05,0.8992187500000001,3,0.014062499999999978,1,0.05,0.9265625,4,0.004687500000000067,1,0.05,1 3 4 2 0
ieee5,16,1,1,0.05,0.84375,3,0.034375000000000044,1,0.15,0.8890625000000001,4,0.028124999999999956,1,0.05,1 3 4 2 0
ieee5,17,1,1,0.15,0.8953125000000001,3,0.03906249999999989,1,0.1,0.9015624999999999,3,0.03593750000000007,1,0.15,1 3 2 4 0
ieee5,18,1,1,0.05,0.84140625,3,0.04531249999999998,1,0.05,0.8625,3,0.042187500000000044,1,0.05,1 3 2 4 0
ieee5,19,1,1,0.05,0.8460937500000001,4,0.01718749999999991,1,0.05,0.8875000000000001,4,0.0031249999999999334,1,0.05,1 4 3 2 0
ieee5,20,1,3,0.05,0.74453125,4,0.0,3,0.05,0.7734375,4,0.0,3,0.05,3 4 2 1 0
ieee5,21,1,1,0.05,0.8562500000000001,4,0.025781249999999978,1,0.05,0.8875000000000001,4,0.0031249999999999334,1,0.05,1 4 3 2 0
ieee5,22,1,4,0.05,0.690625,3,0.01171875,4,0.05,0.7671875000000001,2,0.009374999999999911,4,0.05,4 3 2 1 0
ieee5,23,1,4,0.05,0.7250000000000001,2,0.0031249999999999334,4,0.05,0.771875,2,0.0015625000000000222,4,0.05,4 2 3 1 0
ieee5,24,1,4,0.075,0.77109375,3,0.010156249999999978,4,0.075,0.8234375,3,0.012499999999999956,4,0.075,4 3 1 2 0
ieee5,25,1,1,0.05,0.86328125,3,0.06796874999999991,1,0.05,0.8843750000000001,3,0.04218749999999993,1,0.05,1 3 0 4 2
ieee5,26,1,1,0.05,0.9343750000000001,3,0.017968749999999978,1,0.05,0.925,3,0.015625,1,0.05,1 3 4 2 0
ieee5,27,1,1,0.2,0.91015625,3,0.013281250000000022,1,0.2,0.9125,3,0.02187500000000009,1,0.2,1 3 4 2 0
ieee5,28,1,1,0.2,0.9242187500000001,3,0.014843749999999933,1,0.15,0.928125,3,0.020312500000000067,1,0.2,1 3 4 2 0
ieee5,29,1,1,0.075,0.8734375,3,0.030468750000000155,1,0.075,0.875,3,0.025000000000000022,1,0.075,1 3 2 4 0
ieee5,30,1,1,0.05,0.9000000000000001,3,0.03359374999999998,1,0.05,0.8953125000000001,3,0.03437499999999993,1,0.05,1 3 2 4 0
ieee5,31,1,4,0.1,0.7382812500000001,3,0.007812499999999889,4,0.1,0.8015625000000002,3,0.007812499999999889,4,0.1,4 3 2 1 0
ieee5,32,1,3,0.05,0.71328125,2,0.006249999999999978,3,0.05,0.7578125,2,0.0031250000000000444,3,0.05,3 2 4 1 0
ieee5,33,1,1,0.05,0.85234375,2,0.03593750000000018,1,0.05,0.8906250000000001,4,0.004687500000000067,1,0.05,1 2 4 3 0
ieee5,34,1,4,0.3,0.7351562500000001,3,0.014843749999999933,4,0.3,0.7984375000000001,2,0.012499999999999956,4,0.3,4 3 2 1 0
ieee5,35,1,3,0.05,0.7765624999999999,2,0.0015625000000000222,4,0.05,0.815625,3,0.0015624999999999112,3,0.05,3 2 4 1 0
ieee5,36,1,4,0.2,0.7914062500000001,3,0.005468749999999911,4,0.05,0.8406250000000001,3,0.0078125,4,0.2,4 3 1 2 0
ieee5,37,1,1,0.05,0.8140625000000001,3,0.04843749999999991,1,0.05,0.8656250000000001,3,0.0234375,1,0.05,1 3 4 2 0
ieee5,38,1,1,0.05,0.9265625000000001,3,0.0210937499999998,1,0.05,0.9171875,3,0.020312499999999956,1,0.05,1 3 2 4 0
ieee5,39,1,1,0.1,0.89921875,3,0.03281250000000013,1,0.1,0.903125,3,0.03593750000000007,1,0.1,1 3 4 2 0
ieee5,40,1,1,0.15,0.8734375000000001,3,0.028124999999999956,1,0.15,0.8890625,3,0.03125000000000011,1,0.15,1 3 2 4 0
ieee5,41,1,1,0.1,0.90234375,3,0.022656250000000044,1,0.1,0.9078125,3,0.020312500000000067,1,0.1,1 3 4 2 0
ieee5,42,1,1,0.05,0.8671875,3,0.03671875000000013,1,0.05,0.8859375,3,0.034375000000000044,1,0.05,1 3 2 4 0
ieee5,43,1,1,0.05,0.82421875,4,0.011718750000000111,1,0.05,0.8734375,4,0.0031250000000000444,1,0.05,1 4 3 2 0
ieee5,44,1,3,0.05,0.7117187500000001,4,0.0,3,0.05,0.7640625000000001,4,0.0,3,0.05,3 4 2 1 0
ieee5,45,1,1,0.05,0.828125,4,0.04375000000000007,1,0.05,0.8703125,4,0.014062500000000089,1,0.05,1 4 3 2 0
ieee5,46,1,2,0.3,0.659375,3,0.0,2,0.3,0.7296875,3,0.0,3,0.05,2 3 1 4 0
ieee5,47,1,2,0.3,0.71484375,3,0.0,2,0.3,0.7609375,3,0.0,3,0.05,2 3 4 1 0
ieee5,48,1,1,0.05,0.6046875,4,0.0015625000000000222,1,0.05,0.703125,3,0.0015625000000000222,1,0.05,1 4 3 2 0
ieee5,49,1,1,0.05,0.8406250000000002,3,0.03749999999999987,1,0.05,0.878125,3,0.012500000000000067,1,0.05,1 3 4 2 0
ieee5,50,1,1,0.05,0.878125,3,0.028906250000000022,1,0.05,0.8859375,3,0.02968750000000009,1,0.05,1 3 2 4 0
ieee5,51,1,1,0.15,0.8875000000000001,3,0.021874999999999978,1,0.15,0.896875,3,0.029687499999999978,1,0.15,1 3 2 4 0
ieee5,52,1,1,0.05,0.8843750000000001,3,0.030468749999999822,1,0.05,0.8999999999999999,3,0.018750000000000044,1,0.05,1 3 2 4 0
ieee5,53,1,1,0.075,0.9148437500000001,3,0.021093750000000022,1,0.075,0.9156249999999999,3,0.018750000000000155,1,0.075,1 3 2 4 0
ieee5,54,1,1,0.05,0.86875,3,0.04218749999999993,1,0.05,0.8984375,2,0.020312499999999956,1,0.05,1 3 2 4 0
ieee5,55,1,1,0.15,0.88828125,3,0.04296875000000011,1,0.15,0.903125,3,0.042187500000000044,1,0.15,1 3 2 4 0
ieee5,56,1,4,0.05,0.74609375,2,0.0031250000000000444,4,0.05,0.7859375000000001,2,0.0015625000000000222,4,0.05,4 2 3 1 0
ieee5,57,1,1,0.05,0.8578125000000001,3,0.03359375000000009,1,0.05,0.89375,4,0.009375000000000133,1,0.05,1 3 4 2 0
ieee5,58,1,2,0.075,0.62890625,3,0.0,2,0.075,0.7171875000000001,3,0.0,3,0.05,2 3 4 0 1
ieee5,59,1,2,0.3,0.74296875,3,0.0,2,0.3,0.7749999999999999,3,0.0,3,0.05,2 3 4 1 0
ieee5,60,1,4,0.05,0.6781250000000001,3,0.012499999999999956,4,0.05,0.7546875000000001,3,0.010937499999999933,4,0.05,4 3 2 1 0
ieee5,61,1,1,0.05,0.8812500000000001,3,0.03671875000000002,1,0.05,0.8984375,4,0.026562500000000044,1,0.05,1 3 4 2 0
ieee5,62,1,1,0.05,0.8875000000000001,3,0.025781249999999978,1,0.05,0.8921875000000001,3,0.02499999999999991,1,0.05,1 3 2 4 0
