method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
stage2_dad,0,0,"[11, 3, 27]","[1.596393664508277, 3.204676629662261, 3.05565315382226]",0.7875,0.1,0.6875,True,0.004764878627611324,0,0,nan
stage2_dad,1,1,"[11, 3, 27]","[1.7462351224515662, 4.449085539423479, 2.20817314931692]",0.8625,0.1,0.7625000000000001,True,0.004161412449320778,0,0,nan
stage2_dad,2,2,"[11, 3, 27]","[1.9223361488254385, 3.5441520266331974, 2.4871384390586377]",0.875,0.3,0.575,True,0.004034291836433113,0,0,nan
stage2_dad,3,3,"[11, 3, 27]","[3.2588322488334014, 6.554410899732948, 2.048311846908917]",0.9000000000000001,0.5,0.40000000000000013,True,0.004021291009848937,0,0,nan
stage2_dad,4,4,"[11, 3, 27]","[2.754515719154572, 2.832083945612697, 1.9272570058357321]",0.9500000000000001,0.4,0.55,True,0.0040396820404566824,0,0,nan
stage2_dad,5,5,"[11, 3, 27]","[2.0209092685229946, 6.412667140822708, 2.867567415789206]",0.7374999999999999,0.25,0.48749999999999993,True,0.004067033500177786,0,0,nan
stage2_dad,6,6,"[11, 3, 27]","[3.4479340171099304, 3.250553760803509, 1.7095874551621701]",0.9625,0.6,0.36250000000000004,True,0.003983328031608835,0,0,nan
stage2_dad,7,7,"[11, 3, 27]","[3.5447425150462757, 4.739809320684579, 1.7394041329120702]",0.975,0.6,0.375,True,0.003978063439717516,0,0,nan
stage2_dad,8,8,"[11, 3, 27]","[1.4897697065361108, 5.920894799601064, 1.834752122126907]",0.7000000000000001,0.1,0.6000000000000001,True,0.003994281025370583,0,0,nan
stage2_dad,9,9,"[11, 3, 27]","[2.1661819275058387, 7.100901155773595, 1.7173620243935326]",0.8125,0.35,0.4625,True,0.0040015680133365095,0,0,nan
stage2_dad,10,10,"[11, 3, 27]","[1.630211270938291, 3.329071504169927, 2.818062186829951]",0.8,0.15,0.65,True,0.0043424109171610326,0,0,nan
stage2_dad,11,11,"[11, 3, 27]","[1.366064981375816, 3.125056726917916, 1.3446850895315436]",0.7875,0.1,0.6875,True,0.004753803688799962,0,0,nan
stage2_dad,12,12,"[11, 3, 27]","[3.378279211566025, 3.5369906369988438, 1.5044808434665544]",0.9125,0.6,0.3125,True,0.0047104922705329955,0,0,nan
stage2_dad,13,13,"[11, 3, 27]","[2.9213764485315523, 3.5275359785918834, 1.5924630280659795]",0.9,0.45,0.45,True,0.004746788123156875,0,0,nan
stage2_dad,14,14,"[11, 3, 27]","[2.0814350197823126, 4.85268867413407, 1.3573374262456444]",0.9000000000000001,0.3,0.6000000000000001,True,0.004824263363843784,0,0,nan
stage2_dad,15,15,"[11, 3, 27]","[1.7424902274597858, 3.40559680248419, 1.2496709572041937]",0.7875,0.2,0.5874999999999999,True,0.0049504596390761435,0,0,nan
stage2_dad,0,16,"[11, 3, 27]","[1.3247609614871148, 3.0117270708165176, 3.033830716876929]",0.8,0.1,0.7000000000000001,True,0.00489310675766319,0,0,nan
