rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
0,31,35 41,1.611524 1.4075596,1.04,0.96,0.0,7.405487896322928e-12,0.96,True,True,True,False
1,31,30 39,5.5222041 5.4836236,1.04,0.96,0.0,5.763377297449685e-83,0.96,True,True,True,False
2,5,15 12,0.81359873 8.5757259,1.04,1.04,0.0,0.040306546691305054,1.04,True,False,False,False
3,3,48 52,5.9788588 0.72339673,1.04,0.96,0.0,1.8432181306839145e-27,0.96,True,True,True,False
4,4,29 31,1.8480446 2.4580079,1.04,0.96,0.32,0.001076066456720847,0.6399999999999999,True,True,True,False
5,17,50 21,1.4573321 6.2942404,1.04,0.96,0.0,8.211260761335314e-21,0.96,True,True,True,False
6,25,17 0,1.4352545 4.415927,1.04,0.96,0.0,3.164364958354869e-18,0.96,True,True,True,False
7,25,32 15,0.75019677 1.010697,1.04,1.2,0.0,0.06291998293303336,1.2,True,True,False,True
8,25,13 14,2.6317554 0.80313592,1.04,0.96,0.0,0.015433558582031026,0.96,True,True,True,False
9,30,16 34,0.62960829 0.57189609,1.04,1.04,0.0,0.005862325132343308,1.04,True,False,False,False
10,17,19 17,3.6348219 1.6171082,1.04,0.96,0.0,5.3852146814213484e-24,0.96,True,True,True,False
11,8,17 29,1.6560706 1.5249302,1.04,0.96,0.0,0.0054596056044534675,0.96,True,True,True,False
12,28,21 37,5.7950932 1.6878955,1.04,0.96,0.0,1.3568815525606161e-46,0.96,True,True,True,False
13,20,39 9,4.544685 3.6700359,1.04,0.96,0.0,3.76765287250507e-153,0.96,True,True,True,False
14,16,15 7,0.81134475 1.0265433,1.04,0.96,0.0,0.0013837213672908597,0.96,True,True,True,False
15,30,30 49,4.0475813 1.7353222,1.04,0.96,0.0,2.270618663566014e-219,0.96,True,True,True,False
16,1,39 2,7.3250078 1.4892792,1.04,0.96,0.0,1.3077546987061593e-17,0.96,True,True,True,False
17,23,49 38,1.458685 3.025199,1.04,0.96,0.0,2.0061976207104613e-26,0.96,True,True,True,False
18,27,30 34,6.8756874 0.78917384,1.04,0.96,0.0,0.00011048586593154536,0.96,True,True,True,False
19,25,47 33,3.4450172 1.1488203,1.04,0.96,0.0,1.5636288138509358e-40,0.96,True,True,True,False
20,15,11 44,1.0121852 1.9627987,1.04,0.96,0.0,0.0024237657112523665,0.96,True,True,True,False
21,5,34 12,0.78008645 8.2330321,1.04,0.96,0.0,1.7366244899418964e-08,0.96,True,True,True,False
22,1,39 2,7.2891767 1.4041243,1.04,0.96,0.0,1.6349415557660627e-17,0.96,True,True,True,False
23,4,39 16,11.775133 0.53004759,1.04,1.2,0.32,0.4,0.8799999999999999,True,True,False,True
24,17,30 22,6.1356408 2.4817909,1.04,0.96,0.0,1.83107805364082e-07,0.96,True,True,True,False
25,5,46 33,2.6092422 0.78168987,1.04,0.96,0.0,2.5767407833026548e-21,0.96,True,True,True,False
