theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[9, 28, 20, 10]","[3.8739709295520988, 3.3133480576291516, 1.7098891253404833, 1.6871106748726228]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.0000152156650433,0.9999923922334983,0.44999822689514646,0.0006511125472840933,0.3499982268951465,0.07326660701073706,0,0,0,nan,nan,3.73300863429904e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
1,1,"[4, 23, 12, 17]","[6.560002599120646, 4.705840995465932, 1.8268762457996162, 1.7803679496691374]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0000886265484077,0.9999556886892884,0.25000886226214236,0.0013313053326625738,0.15000886226214236,0.07970656803809106,0,0,0,nan,nan,2.0490726456046104e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
2,2,"[18, 8, 11, 27]","[3.6748507133379515, 3.540910290234066, 1.9461129962262151, 2.3879505651189517]",0.8,0.3,0.5,1.0,True,True,False,True,4.848379284386246,-0.08334330706210222,True,True,1.0000000000281486,0.9999999999859257,0.2500000000007037,1.8757865514098464e-07,-0.049999999999296274,0.07550634001381695,0,0,0,nan,nan,1.9329250790178776e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
3,3,"[23, 26, 3, 10]","[6.925539988889338, 2.6108284088769422, 6.653437350163205, 1.9338088942158849]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0000000000000209,0.9999999999999896,0.3499999999999987,1.9553220268797704e-08,-0.1500000000000013,0.07025160710327327,0,0,0,nan,nan,3.0050519853830338e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
4,4,"[2, 29, 19, 7]","[1.4839121313288604, 2.433110319781287, 2.0950508120027336, 1.3738410404602868]",0.9,0.4,0.5,1.0,True,True,False,True,2.9696220675062928,-0.06329813559475528,True,True,1.5118877819027687,0.7877293289407662,0.290927924735328,0.022922616458521103,-0.109072075264672,0.07210905500687659,0,0,0,nan,nan,3.5586534067988396e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
5,5,"[24, 23, 8, 19]","[2.3320343925410945, 6.728895044693881, 6.351955128564411, 2.350704139003023]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0,1.0,0.05,1.1319505522105575e-10,-0.2,0.07333743898198009,0,0,0,nan,nan,3.7278980016708374e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
6,6,"[3, 14, 17, 0]","[3.476808009992158, 2.7828210673881917, 1.3532804971122534, 1.506359532263859]",0.7,0.6,0.09999999999999998,1.0,True,True,False,True,3.8099811078601817,-0.18265218509163814,True,True,1.000000066810522,0.9999999665947403,0.15000000413017292,2.3055880348575907e-05,-0.4499999958698271,0.06988701689988375,0,0,0,nan,nan,3.1796982511878014e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
7,7,"[22, 26, 19, 15]","[1.6785709420706707, 2.7504295457831542, 6.384711709652442, 1.477549320890924]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0,1.0,0.45,7.738087559540233e-49,-0.14999999999999997,0.06416616914793849,0,0,0,nan,nan,3.5021279472857714e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
8,8,"[29, 11, 12, 9]","[2.6147794524999366, 1.4948834475516721, 1.4908904781696215, 2.6075223598185957]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,7.546941317766077,-0.06468779466643453,True,True,1.001653792416035,0.9991739219362694,0.2500006880415671,0.00024456396949008364,0.1500006880415671,0.07203357387334108,0,0,0,nan,nan,3.277393989264965e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
9,9,"[13, 19, 14, 9]","[7.1477489696144145, 2.5778509880393496, 2.7332406893150263, 2.4905512752530363]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.2382040607466185,0.8921870243773729,0.23921870361332462,0.031014404510379994,-0.11078129638667536,0.07519494812004268,0,0,0,nan,nan,3.3100834116339684e-05,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),random
