T,first_action,first_observation_bin,best_second_action,second_action_distribution,n,action_history,observation_branch,best_next_action,branch_value,bin_prob
2,9,0,0,"{'0': 0.9, '1': 0.1}",10,,,,,
2,9,1,30,"{'30': 0.4444444444444444, '2': 0.2222222222222222, '3': 0.1111111111111111, '48': 0.1111111111111111, '12': 0.1111111111111111}",9,,,,,
2,9,2,3,"{'3': 0.7, '0': 0.2, '2': 0.1}",10,,,,,
2,9,3,0,"{'1': 0.2222222222222222, '3': 0.1111111111111111, '0': 0.6666666666666666}",9,,,,,
2,9,4,0,{'0': 1.0},10,,,,,
3,,,,,,"[48, 0]",0,1,0.9600000000000003,0.3330078125
3,,,,,,"[48, 0]",1,1,0.9600000000000003,0.3330078125
3,,,,,,"[48, 0]",2,1,0.9600000000000003,0.333984375
3,,,,,,"[48, 1]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 2]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 2]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 2]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 3]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 3]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 3]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 4]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 5]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 5]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 5]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 6]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 6]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 6]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 7]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 7]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 7]",2,0,0.9600000000000003,0.333984375
3,,,,,,[48],0,0,0.9600000000000004,0.2001953125
3,,,,,,"[48, 0]",0,1,0.9600000000000003,0.3330078125
3,,,,,,"[48, 0]",1,1,0.9600000000000003,0.3330078125
3,,,,,,"[48, 0]",2,1,0.9600000000000003,0.333984375
3,,,,,,"[48, 1]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 2]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 2]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 2]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 3]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 3]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 3]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 4]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 5]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 5]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 5]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 6]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 6]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 6]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 7]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 7]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 7]",2,0,0.9600000000000003,0.333984375
3,,,,,,[48],1,0,0.9600000000000004,0.19970703125
3,,,,,,"[48, 0]",0,1,0.9600000000000003,0.3330078125
3,,,,,,"[48, 0]",1,1,0.9600000000000003,0.3330078125
3,,,,,,"[48, 0]",2,1,0.9600000000000003,0.333984375
3,,,,,,"[48, 1]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 2]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 2]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 2]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 3]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 3]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 3]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 4]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 5]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 5]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 5]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 6]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 6]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 6]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 7]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 7]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 7]",2,0,0.9600000000000003,0.333984375
3,,,,,,[48],2,0,0.9600000000000004,0.2001953125
3,,,,,,"[48, 1]",0,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 1]",1,50,1.001666666666667,0.3330078125
3,,,,,,"[48, 1]",2,0,0.9600000000000003,0.333984375
3,,,,,,"[48, 4]",0,0,1.1183333333333338,0.3330078125
3,,,,,,"[48, 4]",1,0,0.9600000000000003,0.3330078125
3,,,,,,"[48, 4]",2,0,0.9600000000000003,0.333984375
