system,history_id,history_step,bus,A_star,J_star,second_amplitude,gap_best_second
ieee5,-1,0,0,0.3,0.9992187500000002,0.2,0.0007812499999998446
ieee5,-1,0,1,0.05,0.89765625,0.075,0.0
ieee5,-1,0,2,0.3,1.0367187500000001,0.2,0.010937499999999822
ieee5,-1,0,3,0.2,0.95234375,0.15,0.0007812499999999556
ieee5,-1,0,4,0.3,1.0125,0.05,0.014062499999999867
ieee5,0,1,0,0.3,0.7992187500000001,0.2,0.0031250000000000444
ieee5,0,1,1,0.05,0.7468750000000002,0.075,0.0
ieee5,0,1,2,0.075,0.6984375,0.1,0.0
ieee5,0,1,3,0.05,0.6828125,0.075,0.0
ieee5,0,1,4,0.15,0.6796875,0.2,0.0
ieee5,1,1,0,0.075,0.9085937500000001,0.2,0.0
ieee5,1,1,1,0.05,0.84296875,0.075,0.0007812500000000666
ieee5,1,1,2,0.3,0.8968750000000001,0.2,0.0015624999999999112
ieee5,1,1,3,0.05,0.8859375000000002,0.075,0.0
ieee5,1,1,4,0.3,0.8695312500000001,0.2,0.007031250000000044
ieee5,2,1,0,0.3,1.1101562500000002,0.2,0.0046874999999997335
ieee5,2,1,1,0.05,0.90859375,0.075,0.0007812500000000666
ieee5,2,1,2,0.3,0.9851562500000001,0.2,0.0078125
ieee5,2,1,3,0.3,0.9328125,0.2,0.007031250000000044
ieee5,2,1,4,0.2,1.02734375,0.3,0.0
ieee5,3,1,0,0.3,1.1335937500000002,0.2,0.007031249999999822
ieee5,3,1,1,0.1,0.8953125,0.075,0.0007812500000000666
ieee5,3,1,2,0.3,0.9617187500000001,0.15,0.0007812499999999556
ieee5,3,1,3,0.05,0.921875,0.075,0.0
ieee5,3,1,4,0.05,0.98515625,0.075,0.0
ieee5,4,1,0,0.3,1.12890625,0.2,0.007031250000000044
ieee5,4,1,1,0.15,0.9007812500000001,0.05,0.0007812499999999556
ieee5,4,1,2,0.3,1.00390625,0.05,0.0015624999999999112
ieee5,4,1,3,0.3,0.9273437500000001,0.2,0.0023437499999998668
ieee5,4,1,4,0.3,1.0,0.05,0.009374999999999911
ieee5,5,1,0,0.3,1.1242187500000003,0.15,0.007031249999999822
ieee5,5,1,1,0.05,0.8960937499999999,0.075,0.0
ieee5,5,1,2,0.3,0.9773437500000001,0.2,0.0078125
ieee5,5,1,3,0.3,0.93984375,0.05,0.002343749999999978
ieee5,5,1,4,0.3,1.0007812500000002,0.1,0.00390625
ieee5,6,1,0,0.3,0.9765625,0.2,0.0031250000000000444
ieee5,6,1,1,0.05,0.8562500000000001,0.075,0.0007812499999999556
ieee5,6,1,2,0.3,0.9203125000000001,0.2,0.00390625
ieee5,6,1,3,0.05,0.9,0.075,0.0
ieee5,6,1,4,0.2,0.9335937500000001,0.3,0.0
ieee5,7,1,0,0.3,1.09609375,0.2,0.00390625
ieee5,7,1,1,0.075,0.8843750000000001,0.05,0.002343749999999978
ieee5,7,1,2,0.3,0.9875,0.05,0.0007812499999999556
ieee5,7,1,3,0.2,0.90234375,0.3,0.0
ieee5,7,1,4,0.3,0.9171875,0.2,0.009375000000000022
ieee5,8,1,0,0.3,0.8335937499999999,0.2,0.002343750000000089
ieee5,8,1,1,0.05,0.7835937500000001,0.075,0.003906249999999889
ieee5,8,1,2,0.3,0.75234375,0.2,0.014062499999999978
ieee5,8,1,3,0.05,0.75078125,0.075,0.0031250000000000444
ieee5,8,1,4,0.05,0.74140625,0.075,0.0
ieee5,9,1,0,0.15,0.9328125,0.2,0.0
