system,particle_count,support_seed,J_adaptive,J_common,Delta_adaptive,ci95_low,ci95_high,Fixed_objective,adaptive_reference_objective,case_classification,bus_case_classification,bus_case_note,n_histories,n_xi1_groups,n_unique_optimal_design
ieee9,128,101,0.96975,0.96975,0.0,0.0,0.0,1.0320000000000005,0.96975,B,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,9
ieee9,256,101,0.9708541666666668,0.9708541666666668,0.0,0.0,0.0,1.0320000000000005,0.9708541666666668,B,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,22
ieee9,512,101,0.9731666666666666,0.9731666666666666,0.0,0.0,0.0,1.0320000000000005,0.9731666666666666,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,22
ieee9,1024,101,0.981375,0.981375,0.0,0.0,0.0,1.0320000000000005,0.981375,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,23
ieee9,2048,101,0.9853333333333334,0.9853333333333334,0.0,0.0,0.0,1.0320000000000005,0.9853333333333334,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,54,24
ieee9,128,202,0.9692708333333334,0.9692708333333334,0.0,0.0,0.0,1.0320000000000005,0.9692708333333334,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,17
ieee9,256,202,0.9781666666666666,0.9781666666666666,0.0,0.0,0.0,1.0320000000000005,0.9781666666666666,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,24
ieee9,512,202,0.9746458333333334,0.9746458333333334,0.0,0.0,0.0,1.0320000000000005,0.9746458333333334,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,19
ieee9,1024,202,0.9778541666666667,0.9778541666666667,0.0,0.0,0.0,1.0320000000000005,0.9778541666666667,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,24
ieee9,2048,202,0.9831875,0.9831875,0.0,0.0,0.0,1.0320000000000005,0.9831875,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,54,22
ieee9,128,303,0.9796458333333333,0.9796458333333333,0.0,0.0,0.0,1.0320000000000005,0.9796458333333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,23
ieee9,256,303,0.9813333333333333,0.9813333333333333,0.0,0.0,0.0,1.0320000000000005,0.9813333333333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,19
ieee9,512,303,0.979125,0.979125,0.0,0.0,0.0,1.0320000000000005,0.979125,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,18
ieee9,1024,303,0.9825625,0.9825625,0.0,0.0,0.0,1.0320000000000005,0.9825625,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,23
ieee9,2048,303,0.9827916666666667,0.9827916666666667,0.0,0.0,0.0,1.0320000000000005,0.9827916666666667,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,54,26
ieee9,128,404,0.9714999999999999,0.9714999999999999,0.0,0.0,0.0,1.0320000000000005,0.9714999999999999,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,20
ieee9,256,404,0.9763958333333332,0.9763958333333332,0.0,0.0,0.0,1.0320000000000005,0.9763958333333332,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,24
ieee9,512,404,0.9770833333333333,0.9770833333333333,0.0,0.0,0.0,1.0320000000000005,0.9770833333333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,24
ieee9,1024,404,0.9817291666666667,0.9817291666666667,0.0,0.0,0.0,1.0320000000000005,0.9817291666666667,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,21
ieee9,2048,404,0.9832291666666666,0.9832291666666666,0.0,0.0,0.0,1.0320000000000005,0.9832291666666666,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,54,23
ieee9,128,505,0.9705208333333333,0.9705208333333333,0.0,0.0,0.0,1.0320000000000005,0.9705208333333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,21
ieee9,256,505,0.9754375000000001,0.9754375000000001,0.0,0.0,0.0,1.0320000000000005,0.9754375000000001,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,20
ieee9,512,505,0.9737083333333333,0.9737083333333333,0.0,0.0,0.0,1.0320000000000005,0.9737083333333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,21
ieee9,1024,505,0.98075,0.98075,0.0,0.0,0.0,1.0320000000000005,0.98075,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,54,24
ieee9,2048,505,0.9826458333333333,0.9826458333333333,0.0,0.0,0.0,1.0320000000000005,0.9826458333333333,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,54,22
